sector,business_name,week,engagement_rate,engagement,posts_count,likes_count,comments_count,views_count,rolling_engagement_rate,business_growth,trend_class,n_states,final_trend_class
Cafes/Restaurants,Vanilla Palestine,2026-04-13/2026-04-19,0.007794964028776949,1083.5,2,2164.0,3.0,100000.0,0.009106714628297317,0.3452001416932349,improving,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-04-20/2026-04-26,0.0062206235011990005,864.6666666666666,3,2586.0,8.0,160000.0,0.008273780975219783,-0.09146368224709245,stable,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-04-27/2026-05-03,0.0053932853717025995,749.6666666666666,3,2235.0,14.0,109000.0,0.006469624300559516,-0.21805709869088508,declining,3,inconsistent
Cafes/Restaurants,Vanilla Palestine,2026-05-04/2026-05-10,0.00040287769784165,56.0,2,111.0,1.0,33300.0,0.004005595523581083,-0.3808611849014687,declining,3,inconsistent
Cafes/Restaurants,Vienna Restaurant & Cafe,2020-08-31/2020-09-06,0.0,0.0,1,0.0,0.0,279.0,0.0,0.0,stable,1,stable
Cafes/Restaurants,Vienna Restaurant & Cafe,2023-02-20/2023-02-26,0.0201064458900059,34.0,1,32.0,2.0,1479.0,0.01005322294500295,0.0,stable,1,stable
Cafes/Restaurants,Vienna Restaurant & Cafe,2023-03-13/2023-03-19,0.009067612852355533,15.333333333333334,3,42.0,4.0,2694.0,0.00972468624745381,-0.03267973856209383,stable,1,stable
Cafes/Restaurants,Wakeup coffee,2026-03-02/2026-03-08,5.555555555555556e-05,1.0,2,2.0,0.0,0.0,5.555555555555556e-05,0.0,stable,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-03-09/2026-03-15,5.555555555555556e-05,1.0,1,1.0,0.0,0.0,5.555555555555556e-05,0.0,stable,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-03-16/2026-03-22,5.555555555555556e-05,1.0,1,1.0,0.0,0.0,5.555555555555556e-05,0.0,stable,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-04-06/2026-04-12,0.00013888888888885,2.5,2,4.0,1.0,2116.0,8.333333333332037e-05,0.49999999999976663,improving,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-04-13/2026-04-19,0.00014814814814811852,2.6666666666666665,3,6.0,2.0,2181.0,0.0001141975308641747,0.3703703703703094,improving,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-04-20/2026-04-26,0.0001249999999999889,2.25,4,9.0,0.0,3015.0,0.00013734567901231914,0.20270270270271085,improving,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-04-27/2026-05-03,0.00019444444444441389,3.5,4,13.0,1.0,2150.0,0.00015586419753084045,0.1348314606742036,improving,3,inconsistent
Cafes/Restaurants,Wakeup coffee,2026-05-04/2026-05-10,9.999999999999111e-05,1.8,5,8.0,1.0,1873.0,0.00013981481481479798,-0.10297029702967431,declining,3,inconsistent
Fashion,528 Fashion,2026-04-27/2026-05-03,0.0001111111111111,0.5,4,2.0,0.0,2223.0,0.0001111111111111,0.0,stable,2,stable
Fashion,528 Fashion,2026-05-04/2026-05-10,0.0005185185185185,2.3333333333333335,3,7.0,0.0,1400.0,0.0003148148148148,1.8333333333334831,improving,2,improving
Fashion,99streetwear,2026-05-04/2026-05-10,0.0005769230769230111,3.0,9,24.0,3.0,12300.0,0.0005769230769230111,0.0,stable,1,stable
Fashion,Angel shop PS,2025-12-22/2025-12-28,0.0312857142857142,438.0,2,717.0,159.0,283000.0,0.0312857142857142,0.0,stable,3,inconsistent
