source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
392,0.9582637729549248,high_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|high_view_rate,22
393,0.44073455759599334,avg_view_rate,hashtag=رمضان|hashtag=رمضان_كريم|hashtag=كنتاكي|hashtag=دجاج_كنتاكي|hashtag=فلسطين|hashtag=palestine,hashtag=رمضان|hashtag=رمضان_كريم|hashtag=كنتاكي|hashtag=دجاج_كنتاكي|hashtag=فلسطين|hashtag=palestine|avg_view_rate,6
396,0.4056761268781302,avg_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|avg_view_rate,22
398,12.487479131886477,high_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|high_view_rate,22
399,0.3121869782971619,avg_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|avg_view_rate,22
400,0.38731218697829717,avg_view_rate,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات,hashtag=دجاج|hashtag=كنتاكي|hashtag=لذيذ|hashtag=يمي|hashtag=فلسطين|hashtag=رام_الله|hashtag=طولكرم|hashtag=جنين|hashtag=قلقيلية|hashtag=الخليل|hashtag=نابلس|hashtag=بيت_لحم|hashtag=حوارة|hashtag=اريحا|hashtag=توصيل|hashtag=palestine|hashtag=yummy|hashtag=delicious|hashtag=follow|hashtag=like|hashtag=delivery|hashtag=توصيل_طلبات|avg_view_rate,22
401,1.472972972972973,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
402,1.9054054054054055,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
403,0.7313513513513513,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
404,1.6891891891891893,high_view_rate,hashtag=55555,hashtag=55555|high_view_rate,1
