business_name,sector,followers_count,posts_count,engagement,engagement_rate,view_rate,comment_rate,score_engagement_only,score_balanced,score_sector_z,benchmark_score,business_percentile_rank,sector_avg_engagement,sector_avg_engagement_rate,best_post_type,best_post_type_engagement_rate
FPAIspal,Influencers,1100000.0,1,33281.0,0.0302554545454545,0.0,0.0009827272727272,0.0302554545454545,0.01532427272727269,0.6479107651525735,0.01532427272727269,52.94117647058824,68138.1375,0.012682563050239196,reel,0.012682563050239196
Family Market PS,Supermarkets,2362.0,16,1292.3125,0.5471263759525825,28.157070279424218,0.008255715495342913,0.5471263759525825,8.722335414902625,1.9971777390924448,8.722335414902625,100.0,427.80392156862746,0.17565602391148546,reel,0.17565602391148546
Farouj Abu Alabd,Cafes/Restaurants,25000.0,24,88.25,0.00353,2.2933333333333334,0.0006833333333333332,0.00353,0.6899016666666667,-0.32110804628164036,0.6899016666666667,85.71428571428571,258.1578947368421,0.007875594842092663,reel,0.013209017873851984
Fashion Shop Ramallah,Fashion,16500.0,8,2.0,0.00012121212121209508,0.014818181818181776,0.0,0.00012121212121209508,0.00450606060606058,-0.5293195241567591,0.00450606060606058,19.230769230769234,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Fekreebrahem,Influencers,1100000.0,3,1250.3333333333333,0.0011366666666666,0.013515151515151501,2.090909090909091e-05,0.0011366666666666,0.004627060606060569,-0.5552920248851383,0.004627060606060569,29.411764705882355,68138.1375,0.012682563050239196,reel,0.012682563050239196
Ghazala__store غزالة ستور,Fashion,3100.0,6,1.5,0.0004838709677419,0.20279569892473115,0.00010752688172040001,0.0004838709677419,0.06110215053763437,-0.42735405647062186,0.06110215053763437,61.53846153846154,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Gintifada,Influencers,1100000.0,1,4058.0,0.0036890909090909,0.0,4.909090909090909e-05,0.0036890909090909,0.0018543636363636319,-0.4858927841112057,0.0018543636363636319,17.647058823529413,68138.1375,0.012682563050239196,reel,0.012682563050239196
Grand Shop,Fashion,25000.0,10,13.7,0.000548,0.1916,2e-05,0.000548,0.057758,-0.46866254972622107,0.057758,57.692307692307686,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Grand Stores Mall,Fashion,43000.0,9,21.77777777777778,0.0005064599483203969,0.09399999999999996,0.0,0.0005064599483203969,0.028453229974160183,-0.48641636153407847,0.028453229974160183,42.30769230769231,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Hala Fashion هلا فاشن,Fashion,1000.0,9,10.444444444444445,0.010444444444444444,0.7826666666666666,0.00044444444444444447,0.010444444444444444,0.24011111111111108,0.8299467414912762,0.24011111111111108,73.07692307692307,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
Hamdan ElDahdouh,Influencers,1100000.0,2,15407.0,0.0140063636363636,0.0868181818181818,0.0004909090909090772,0.0140063636363636,0.03314681818181815,0.06539978687131986,0.03314681818181815,64.70588235294117,68138.1375,0.012682563050239196,reel,0.012682563050239196
Hijjawi Fashion - الحجاوي للأزياء,Fashion,257000.0,11,8.727272727272727,3.3958259639193496e-05,0.0,1.4149274849663953e-06,3.3958259639193496e-05,1.7262115316590026e-05,-0.5381862894175331,1.7262115316590026e-05,3.8461538461538463,43.02713178294574,0.003118168846990835,reel,0.0031384765446857686
